iter	Passed	Remaining
187	7135	30818
188	7172	30777
189	7214	30755
190	7255	30730
191	7287	30668
192	7332	30660
193	7374	30636
194	7415	30613
195	7449	30556
196	7491	30536
197	7526	30484
198	7561	30436
199	7595	30381
200	7635	30351
201	7675	30323
202	7716	30294
203	7759	30275
204	7792	30220
205	7834	30197
206	7866	30135
207	7906	30106
208	7948	30081
209	7990	30058
210	8026	30014
211	8072	30005
212	8112	29974
213	8148	29928
214	8184	29882
215	8228	29864
216	8265	29823
217	8306	29797
218	8340	29743
219	8382	29720
220	8421	29686
221	8455	29634
222	8491	29587
223	8532	29560
224	8566	29506
225	8605	29471
226	8641	29425
227	8681	29396
228	8716	29347
229	8756	29314
230	8791	29267
231	8826	29219
232	8869	29195
233	8907	29159
234	8946	29123
235	8982	29077
236	9021	29044
237	9056	28995
238	9094	28957
239	9134	28927
240	9170	28882
241	9210	28849
242	9243	28796
243	9278	28749
244	9319	28718
245	9359	28687
246	9402	28663
247	9437	28616
248	9477	28583
249	9515	28546
250	9549	28497
251	9585	28450
252	9622	28411
253	9663	28382
254	9699	28336
255	9738	28302
256	9770	28247
257	9804	28198
258	9844	28166
259	9881	28124
260	9918	28083
261	9957	28047
262	9990	27996
263	10032	27968
264	10071	27934
265	10112	27905
266	10153	27874
267	10195	27846
268	10234	27812
269	10274	27778
270	10315	27748
271	10351	27706
272	10397	27688
273	10437	27655
274	10473	27611
275	10510	27571
276	10552	27542
277	10595	27517
278	10638	27493
279	10679	27462
280	10720	27431
281	10762	27403
282	10807	27382
283	10851	27358
284	10893	27329
285	10935	27301
286	10979	27276
287	11017	27238
288	11055	27199
289	11088	27147
290	11126	27109
291	11159	27058
292	11198	27020
293	11229	26966
294	11269	26932
295	11309	26897
296	11348	26861
297	11379	26807
298	11420	26774
299	11458	26736
300	11491	26687
301	11528	26646
302	11561	26594
303	11595	26548
304	11632	26507
305	11667	26461
306	11710	26433
307	11751	26402
308	11786	26356
309	11826	26322
310	11858	26270
311	11891	26221
312	11931	26188
313	11971	26155
314	12007	26111
315	12044	26070
316	12084	26036
317	12124	26002
318	12163	25966
319	12200	25926
320	12236	25884
321	12274	25845
322	12311	25804
323	12346	25759
324	12385	25724
325	12422	25683
326	12465	25654
327	12504	25618
328	12547	25591
329	12590	25562
330	12625	25518
331	12661	25476
332	12702	25443
333	12745	25415
334	12791	25391
335	12831	25357
336	12871	25323
337	12912	25291
338	12954	25258
339	12986	25208
340	13020	25162
341	13063	25134
342	13104	25100
343	13145	25068
344	13183	25029
345	13215	24980
346	13257	24949
347	13289	24898
348	13328	24862
349	13368	24827
350	13409	24794
351	13452	24764
352	13494	24733
353	13532	24694
354	13565	24647
355	13602	24606
356	13641	24569
357	13681	24534
358	13718	24494
359	13761	24464
360	13800	24427
361	13840	24393
362	13884	24365
363	13928	24336
364	13966	24298
365	14008	24265
366	14051	24235
367	14094	24206
368	14136	24174
369	14174	24135
370	14209	24091
371	14244	24047
372	14290	24021
373	14333	23990
374	14373	23955
375	14413	23919
376	14455	23887
377	14494	23851
378	14533	23813
379	14576	23782
380	14613	23742
381	14657	23712
382	14701	23683
383	14743	23651
384	14783	23615
385	14826	23584
386	14860	23538
387	14893	23491
388	14930	23451
389	14971	23417
390	15012	23383
391	15054	23349
392	15093	23311
393	15133	23276
394	15171	23237
395	15210	23200
396	15243	23153
397	15284	23118
398	15319	23075
399	15357	23036
400	15399	23003
401	15439	22967
402	15479	22930
403	15518	22893
404	15557	22856
405	15598	22820
406	15631	22774
407	15671	22739
408	15712	22704
409	15752	22667
410	15786	22623
411	15825	22585
412	15862	22545
413	15904	22511
414	15941	22471
415	15981	22436
416	16022	22401
417	16059	22360
418	16097	22321
419	16135	22281
420	16168	22236
421	16204	22195
422	16245	22159
423	16283	22121
424	16320	22080
425	16361	22045
426	16401	22009
427	16440	21971
428	16471	21923
429	16510	21885
430	16547	21846
431	16587	21809
432	16630	21776
433	16670	21740
434	16710	21705
435	16747	21664
436	16784	21623
437	16825	21588
438	16860	21546
439	16901	21511
440	16943	21476
441	16981	21438
442	17018	21398
443	17057	21359
444	17093	21318
445	17133	21282
446	17175	21248
447	17216	21212
448	17257	21178
449	17297	21141
450	17336	21104
451	17376	21066
452	17417	21031
453	17459	20997
454	17498	20959
455	17534	20918
456	17569	20875
457	17608	20838
458	17643	20795
459	17682	20757
460	17719	20717
461	17760	20682
462	17794	20638
463	17828	20594
464	17868	20558
465	17910	20523
466	17951	20488
467	17993	20454
468	18026	20409
469	18068	20375
470	18107	20337
471	18147	20300
472	18188	20265
473	18228	20228
474	18268	20191
475	18308	20154
476	18345	20115
477	18386	20079
478	18427	20043
479	18465	20004
480	18503	19964
481	18542	19927
482	18581	19890
483	18622	19853
484	18659	19813
485	18701	19778
486	18742	19742
487	18784	19708
488	18820	19667
489	18860	19630
490	18899	19592
491	18939	19555
492	18977	19516
493	19015	19477
494	19054	19439
495	19092	19400
496	19132	19363
497	19172	19326
498	19212	19289
499	19251	19251
500	19290	19213
501	19332	19178
502	19366	19135
503	19407	19099
504	19448	19063
505	19484	19022
506	19527	18988
507	19569	18953
508	19611	18917
509	19655	18884
510	19699	18851
511	19741	18816
512	19785	18782
513	19817	18737
514	19851	18695
515	19892	18658
516	19935	18624
517	19977	18589
518	20018	18552
519	20061	18518
520	20103	18482
521	20143	18445
522	20183	18407
523	20225	18372
524	20267	18337
525	20301	18294
526	20341	18257
527	20380	18218
528	20417	18178
529	20460	18144
530	20502	18109
531	20541	18070
532	20580	18032
533	20615	17990
534	20648	17947
535	20690	17911
536	20728	17871
537	20771	17837
538	20809	17798
539	20850	17761
540	20892	17725
541	20933	17689
542	20976	17654
543	21019	17619
544	21060	17582
545	21099	17544
546	21140	17507
547	21184	17473
548	21224	17435
549	21264	17398
550	21301	17357
551	21342	17321
552	21384	17285
553	21422	17246
554	21460	17207
555	21503	17171
556	21542	17133
557	21580	17094
558	21623	17059
559	21663	17021
560	21705	16985
561	21746	16948
562	21789	16912
563	21827	16874
564	21871	16839
565	21911	16801
566	21955	16766
567	21998	16731
568	22033	16689
569	22069	16648
570	22108	16610
571	22147	16571
572	22184	16532
573	22224	16494
574	22262	16455
575	22303	16417
576	22342	16379
577	22382	16341
578	22416	16299
579	22454	16260
580	22493	16221
581	22524	16177
582	22560	16136
583	22596	16096
584	22637	16058
585	22676	16020
586	22714	15981
587	22756	15945
588	22798	15908
589	22839	15871
590	22876	15831
591	22918	15795
592	22956	15755
593	22998	15719
594	23042	15684
595	23085	15648
596	23127	15611
597	23165	15572
598	23203	15533
599	23243	15495
600	23284	15458
601	23321	15418
602	23364	15382
603	23406	15346
604	23438	15302
605	23469	15259
606	23510	15221
607	23556	15187
608	23597	15150
609	23637	15112
610	23678	15075
611	23721	15038
612	23759	15000
613	23797	14960
614	23831	14918
615	23871	14881
616	23914	14845
617	23955	14807
618	23993	14768
619	24034	14730
620	24076	14694
621	24117	14656
622	24157	14618
623	24196	14579
624	24236	14541
625	24273	14501
626	24314	14464
627	24352	14425
628	24396	14389
629	24435	14351
630	24475	14313
631	24515	14274
632	24552	14234
633	24593	14197
634	24631	14158
635	24663	14115
636	24696	14073
637	24733	14033
638	24773	13995
639	24814	13958
640	24856	13921
641	24888	13878
642	24922	13837
643	24963	13799
644	25004	13762
645	25048	13726
646	25080	13683
647	25111	13640
648	25144	13598
649	25184	13561
650	25227	13524
651	25268	13486
652	25309	13449
653	25353	13413
654	25394	13375
655	25440	13340
656	25483	13304
657	25524	13266
658	25566	13229
659	25609	13192
660	25653	13156
661	25696	13120
662	25738	13082
663	25773	13042
664	25815	13004
665	25858	12968
666	25898	12929
667	25940	12892
668	25981	12854
669	26020	12816
670	26061	12778
671	26102	12740
672	26142	12702
673	26183	12664
674	26227	12628
675	26269	12590
676	26302	12548
677	26339	12509
678	26383	12472
679	26422	12434
680	26464	12396
681	26504	12358
682	26543	12319
683	26583	12281
684	26623	12243
685	26665	12205
686	26710	12169
687	26751	12131
688	26794	12094
689	26835	12056
690	26878	12019
691	26922	11982
692	26961	11943
693	27003	11906
694	27045	11868
695	27088	11831
696	27131	11794
697	27174	11757
698	27210	11717
699	27243	11675
700	27281	11636
701	27320	11597
702	27360	11559
703	27402	11521
704	27446	11484
705	27491	11448
706	27537	11412
707	27580	11375
708	27624	11338
709	27667	11300
710	27707	11262
711	27741	11221
712	27781	11182
713	27816	11142
714	27857	11103
715	27898	11065
716	27938	11027
717	27980	10989
718	28023	10952
719	28058	10911
720	28099	10873
721	28140	10835
722	28174	10794
723	28213	10755
724	28251	10715
725	28287	10676
726	28333	10639
727	28377	10602
728	28417	10564
729	28460	10526
730	28494	10485
731	28538	10448
732	28580	10410
733	28622	10372
734	28657	10332
735	28701	10295
736	28744	10257
737	28785	10219
738	28827	10181
739	28863	10141
740	28905	10103
741	28945	10064
742	28986	10026
743	29027	9987
744	29064	9948
745	29111	9912
746	29151	9873
747	29192	9834
748	29232	9796
749	29274	9758
750	29314	9719
751	29354	9680
752	29394	9642
753	29436	9603
754	29477	9565
755	29518	9526
756	29559	9488
757	29600	9450
758	29636	9410
759	29670	9369
760	29710	9330
761	29753	9293
762	29792	9254
763	29832	9215
764	29873	9176
765	29917	9139
766	29957	9100
767	29999	9062
768	30037	9023
769	30077	8984
770	30118	8945
771	30157	8906
772	30194	8867
773	30237	8829
774	30277	8790
775	30319	8751
776	30358	8712
777	30401	8674
778	30442	8636
779	30477	8596
780	30517	8557
781	30557	8518
782	30599	8480
783	30639	8441
784	30674	8401
785	30718	8363
786	30760	8325
787	30801	8286
788	30841	8247
789	30882	8209
790	30922	8170
791	30960	8131
792	31008	8094
793	31043	8054
794	31083	8015
795	31122	7976
796	31160	7936
797	31195	7896
798	31231	7856
799	31273	7818
800	31313	7779
801	31354	7740
802	31393	7701
803	31435	7663
804	31471	7623
805	31514	7585
806	31554	7546
807	31594	7507
808	31629	7467
809	31669	7428
810	31711	7390
811	31753	7351
812	31793	7313
813	31835	7274
814	31876	7235
815	31919	7197
816	31964	7159
817	32007	7121
818	32038	7080
819	32079	7041
820	32118	7002
821	32154	6962
822	32191	6923
823	32235	6885
824	32276	6846
825	32317	6807
826	32358	6769
827	32397	6729
828	32435	6690
829	32473	6651
830	32519	6613
831	32561	6574
832	32598	6535
833	32637	6496
834	32675	6456
835	32713	6417
836	32749	6377
837	32787	6338
838	32829	6299
839	32869	6260
840	32910	6222
841	32949	6182
842	32981	6142
843	33023	6103
844	33057	6063
845	33091	6023
846	33133	5985
847	33174	5946
848	33217	5907
849	33258	5869
850	33299	5830
851	33340	5791
852	33379	5752
853	33420	5713
854	33463	5675
855	33502	5635
856	33544	5597
857	33579	5557
858	33618	5518
859	33660	5479
860	33706	5441
861	33747	5402
862	33789	5364
863	33834	5325
864	33874	5286
865	33915	5247
866	33959	5209
867	33997	5170
868	34036	5130
869	34079	5092
870	34121	5053
871	34156	5013
872	34198	4974
873	34241	4936
874	34284	4897
875	34321	4858
876	34365	4819
877	34408	4781
878	34451	4742
879	34493	4703
880	34534	4664
881	34575	4625
882	34618	4587
883	34661	4548
884	34703	4509
885	34745	4470
886	34788	4431
887	34831	4393
888	34873	4354
889	34916	4315
890	34956	4276
891	34999	4237
892	35040	4198
893	35086	4160
894	35125	4120
895	35167	4081
896	35208	4042
897	35251	4004
898	35291	3964
899	35333	3925
900	35370	3886
901	35415	3847
902	35458	3808
903	35499	3769
904	35537	3730
905	35583	3691
906	35625	3652
907	35671	3614
908	35710	3574
909	35752	3535
910	35796	3497
911	35833	3457
912	35874	3418
913	35916	3379
914	35956	3340
915	35994	3300
916	36036	3261
917	36071	3222
918	36113	3183
919	36156	3144
920	36198	3104
921	36240	3065
922	36281	3026
923	36324	2987
924	36366	2948
925	36409	2909
926	36452	2870
927	36483	2830
928	36522	2791
929	36563	2752
930	36606	2713
931	36648	2673
932	36690	2634
933	36734	2595
934	36777	2556
935	36820	2517
936	36864	2478
937	36908	2439
938	36951	2400
939	36986	2360
940	37029	2321
941	37069	2282
942	37112	2243
943	37156	2204
944	37197	2164
945	37238	2125
946	37281	2086
947	37323	2047
948	37363	2007
949	37407	1968
950	37445	1929
951	37485	1890
952	37525	1850
953	37569	1811
954	37611	1772
955	37655	1733
956	37696	1693
957	37734	1654
958	37773	1614
959	37815	1575
960	37853	1536
961	37889	1496
962	37930	1457
963	37970	1417
964	38010	1378
965	38048	1339
966	38086	1299
967	38123	1260
968	38164	1220
969	38205	1181
970	38254	1142
971	38299	1103
972	38340	1063
973	38382	1024
974	38426	985
975	38471	946
976	38515	906
977	38559	867
978	38604	828
979	38644	788
980	38685	749
981	38728	709
982	38770	670
983	38811	631
984	38851	591
985	38893	552
986	38935	512
987	38974	473
988	39016	433
989	39055	394
990	39094	355
991	39136	315
992	39170	276
993	39216	236
994	39253	197
995	39284	157
996	39326	118
997	39369	78
998	39408	39
999	39452	0
